,method,fold,selected,metric,value
127,equal_impurity_centrality,0,5,MCC,0.2182178902359924
128,equal_impurity_centrality,0,6,A,0.7
129,equal_impurity_centrality,0,6,MCC,0.2182178902359924
130,equal_impurity_centrality,0,7,A,0.7
131,equal_impurity_centrality,0,7,MCC,0.2182178902359924
132,equal_impurity_centrality,0,8,A,0.7
133,equal_impurity_centrality,0,8,MCC,0.2182178902359924
134,equal_impurity_centrality,0,9,A,0.65
135,equal_impurity_centrality,0,9,MCC,0.0
136,equal_impurity_centrality,0,10,A,0.7
137,equal_impurity_centrality,0,10,MCC,0.2182178902359924
138,equal_impurity_centrality,0,11,A,0.7
139,equal_impurity_centrality,0,11,MCC,0.2182178902359924
140,relevance_impurity_centrality,0,2,A,0.7
141,relevance_impurity_centrality,0,2,MCC,0.3572172541558802
142,relevance_impurity_centrality,0,3,A,0.8
143,relevance_impurity_centrality,0,3,MCC,0.375
144,relevance_impurity_centrality,0,4,A,0.75
145,relevance_impurity_centrality,0,4,MCC,0.28867513459481287
146,relevance_impurity_centrality,0,5,A,0.7
147,relevance_impurity_centrality,0,5,MCC,0.0625
148,relevance_impurity_centrality,0,6,A,0.85
149,relevance_impurity_centrality,0,6,MCC,0.4900980294098034
150,relevance_impurity_centrality,0,7,A,0.9
151,relevance_impurity_centrality,0,7,MCC,0.6875
152,relevance_impurity_centrality,0,8,A,0.85
153,relevance_impurity_centrality,0,8,MCC,0.4900980294098034
154,relevance_impurity_centrality,0,9,A,0.85
155,relevance_impurity_centrality,0,9,MCC,0.4900980294098034
156,relevance_impurity_centrality,0,10,A,0.8
157,relevance_impurity_centrality,0,10,MCC,0.375
158,relevance_impurity_centrality,0,11,A,0.8
159,relevance_impurity_centrality,0,11,MCC,0.375
160,support_relevance_centrality,0,2,A,0.7
161,support_relevance_centrality,0,2,MCC,0.3572172541558802
162,support_relevance_centrality,0,3,A,0.8
163,support_relevance_centrality,0,3,MCC,0.49099025303098287
164,support_relevance_centrality,0,4,A,0.8
165,support_relevance_centrality,0,4,MCC,0.49099025303098287
166,support_relevance_centrality,0,5,A,0.85
167,support_relevance_centrality,0,5,MCC,0.4900980294098034
168,support_relevance_centrality,0,6,A,0.75
169,support_relevance_centrality,0,6,MCC,0.28867513459481287
170,support_relevance_centrality,0,7,A,0.9
171,support_relevance_centrality,0,7,MCC,0.6666666666666666
172,support_relevance_centrality,0,8,A,0.85
173,support_relevance_centrality,0,8,MCC,0.4900980294098034
174,support_relevance_centrality,0,9,A,0.75
175,support_relevance_centrality,0,9,MCC,0.14002800840280097
176,support_relevance_centrality,0,10,A,0.8
177,support_relevance_centrality,0,10,MCC,0.375
178,support_relevance_centrality,0,11,A,0.85
179,support_relevance_centrality,0,11,MCC,0.4900980294098034
180,confidence_relevance_centrality,0,2,A,0.7
181,confidence_relevance_centrality,0,2,MCC,0.3572172541558802
182,confidence_relevance_centrality,0,3,A,0.8
183,confidence_relevance_centrality,0,3,MCC,0.49099025303098287
184,confidence_relevance_centrality,0,4,A,0.8
185,confidence_relevance_centrality,0,4,MCC,0.49099025303098287
186,confidence_relevance_centrality,0,5,A,0.85
187,confidence_relevance_centrality,0,5,MCC,0.4900980294098034
188,confidence_relevance_centrality,0,6,A,0.95
189,confidence_relevance_centrality,0,6,MCC,0.8401680504168059
190,confidence_relevance_centrality,0,7,A,0.9
191,confidence_relevance_centrality,0,7,MCC,0.6666666666666666
192,confidence_relevance_centrality,0,8,A,0.85
193,confidence_relevance_centrality,0,8,MCC,0.4900980294098034
194,confidence_relevance_centrality,0,9,A,0.75
195,confidence_relevance_centrality,0,9,MCC,0.14002800840280097
196,confidence_relevance_centrality,0,10,A,0.8
197,confidence_relevance_centrality,0,10,MCC,0.375
198,confidence_relevance_centrality,0,11,A,0.85
199,confidence_relevance_centrality,0,11,MCC,0.4900980294098034
200,lift_relevance_centrality,0,2,A,0.85
201,lift_relevance_centrality,0,2,MCC,0.4588314677411235
202,lift_relevance_centrality,0,3,A,0.8
203,lift_relevance_centrality,0,3,MCC,0.6123724356957946
204,lift_relevance_centrality,0,4,A,0.65
205,lift_relevance_centrality,0,4,MCC,0.30151134457776363
206,lift_relevance_centrality,0,5,A,0.85
207,lift_relevance_centrality,0,5,MCC,0.4900980294098034
208,lift_relevance_centrality,0,6,A,0.9
209,lift_relevance_centrality,0,6,MCC,0.6666666666666666
