,method,fold,selected,metric,value
134,support_impurity_centrality,0,15,A,0.875
135,support_impurity_centrality,0,15,MCC,0.7271428173249503
136,support_impurity_centrality,0,16,A,0.875
137,support_impurity_centrality,0,16,MCC,0.7271428173249503
138,support_impurity_centrality,0,17,A,0.875
139,support_impurity_centrality,0,17,MCC,0.7271428173249503
140,support_impurity_centrality,0,18,A,0.875
141,support_impurity_centrality,0,18,MCC,0.7271428173249503
142,support_impurity_centrality,0,19,A,0.875
143,support_impurity_centrality,0,19,MCC,0.7271428173249503
144,confidence_impurity_centrality,0,2,A,0.8958333333333334
145,confidence_impurity_centrality,0,2,MCC,0.7742769904938871
146,confidence_impurity_centrality,0,3,A,0.9270833333333334
147,confidence_impurity_centrality,0,3,MCC,0.852359800696136
148,confidence_impurity_centrality,0,4,A,0.90625
149,confidence_impurity_centrality,0,4,MCC,0.8030515337610453
150,confidence_impurity_centrality,0,5,A,0.8958333333333334
151,confidence_impurity_centrality,0,5,MCC,0.7728532853703904
152,confidence_impurity_centrality,0,6,A,0.875
153,confidence_impurity_centrality,0,6,MCC,0.7271428173249503
154,confidence_impurity_centrality,0,7,A,0.875
155,confidence_impurity_centrality,0,7,MCC,0.7271428173249503
156,confidence_impurity_centrality,0,8,A,0.875
157,confidence_impurity_centrality,0,8,MCC,0.7271428173249503
158,confidence_impurity_centrality,0,9,A,0.875
159,confidence_impurity_centrality,0,9,MCC,0.7271428173249503
160,confidence_impurity_centrality,0,10,A,0.875
161,confidence_impurity_centrality,0,10,MCC,0.7271428173249503
162,confidence_impurity_centrality,0,11,A,0.875
163,confidence_impurity_centrality,0,11,MCC,0.7271428173249503
164,confidence_impurity_centrality,0,12,A,0.875
165,confidence_impurity_centrality,0,12,MCC,0.7271428173249503
166,confidence_impurity_centrality,0,13,A,0.8645833333333334
167,confidence_impurity_centrality,0,13,MCC,0.7042971527455699
168,confidence_impurity_centrality,0,14,A,0.875
169,confidence_impurity_centrality,0,14,MCC,0.7271428173249503
170,confidence_impurity_centrality,0,15,A,0.875
171,confidence_impurity_centrality,0,15,MCC,0.7271428173249503
172,confidence_impurity_centrality,0,16,A,0.875
173,confidence_impurity_centrality,0,16,MCC,0.7271428173249503
174,confidence_impurity_centrality,0,17,A,0.8645833333333334
175,confidence_impurity_centrality,0,17,MCC,0.7042971527455699
176,confidence_impurity_centrality,0,18,A,0.875
177,confidence_impurity_centrality,0,18,MCC,0.7271428173249503
178,confidence_impurity_centrality,0,19,A,0.875
179,confidence_impurity_centrality,0,19,MCC,0.7271428173249503
180,lift_impurity_centrality,0,2,A,0.8958333333333334
181,lift_impurity_centrality,0,2,MCC,0.7742769904938871
182,lift_impurity_centrality,0,3,A,0.9270833333333334
183,lift_impurity_centrality,0,3,MCC,0.852359800696136
184,lift_impurity_centrality,0,4,A,0.90625
185,lift_impurity_centrality,0,4,MCC,0.8030515337610453
186,lift_impurity_centrality,0,5,A,0.8958333333333334
187,lift_impurity_centrality,0,5,MCC,0.7728532853703904
188,lift_impurity_centrality,0,6,A,0.875
189,lift_impurity_centrality,0,6,MCC,0.7271428173249503
190,lift_impurity_centrality,0,7,A,0.875
191,lift_impurity_centrality,0,7,MCC,0.7271428173249503
192,lift_impurity_centrality,0,8,A,0.875
193,lift_impurity_centrality,0,8,MCC,0.7271428173249503
194,lift_impurity_centrality,0,9,A,0.875
195,lift_impurity_centrality,0,9,MCC,0.7271428173249503
196,lift_impurity_centrality,0,10,A,0.875
197,lift_impurity_centrality,0,10,MCC,0.7271428173249503
198,lift_impurity_centrality,0,11,A,0.875
199,lift_impurity_centrality,0,11,MCC,0.7271428173249503
200,lift_impurity_centrality,0,12,A,0.875
201,lift_impurity_centrality,0,12,MCC,0.7271428173249503
202,lift_impurity_centrality,0,13,A,0.8645833333333334
203,lift_impurity_centrality,0,13,MCC,0.7042971527455699
204,lift_impurity_centrality,0,14,A,0.875
205,lift_impurity_centrality,0,14,MCC,0.7271428173249503
206,lift_impurity_centrality,0,15,A,0.875
207,lift_impurity_centrality,0,15,MCC,0.7271428173249503
208,lift_impurity_centrality,0,16,A,0.875
209,lift_impurity_centrality,0,16,MCC,0.7271428173249503
210,lift_impurity_centrality,0,17,A,0.8645833333333334
211,lift_impurity_centrality,0,17,MCC,0.7042971527455699
212,lift_impurity_centrality,0,18,A,0.875
213,lift_impurity_centrality,0,18,MCC,0.7271428173249503
214,lift_impurity_centrality,0,19,A,0.875
215,lift_impurity_centrality,0,19,MCC,0.7271428173249503
216,equal_impurity_centrality,0,2,A,0.8958333333333334
217,equal_impurity_centrality,0,2,MCC,0.7742769904938871
218,equal_impurity_centrality,0,3,A,0.9270833333333334
219,equal_impurity_centrality,0,3,MCC,0.852359800696136
220,equal_impurity_centrality,0,4,A,0.90625
221,equal_impurity_centrality,0,4,MCC,0.8030515337610453
222,equal_impurity_centrality,0,5,A,0.8958333333333334
223,equal_impurity_centrality,0,5,MCC,0.7728532853703904
224,equal_impurity_centrality,0,6,A,0.875
225,equal_impurity_centrality,0,6,MCC,0.7271428173249503
226,equal_impurity_centrality,0,7,A,0.875
227,equal_impurity_centrality,0,7,MCC,0.7271428173249503
228,equal_impurity_centrality,0,8,A,0.875
229,equal_impurity_centrality,0,8,MCC,0.7271428173249503
230,equal_impurity_centrality,0,9,A,0.875
231,equal_impurity_centrality,0,9,MCC,0.7271428173249503
232,equal_impurity_centrality,0,10,A,0.875
233,equal_impurity_centrality,0,10,MCC,0.7271428173249503
234,equal_impurity_centrality,0,11,A,0.875
235,equal_impurity_centrality,0,11,MCC,0.7271428173249503
236,equal_impurity_centrality,0,12,A,0.875
237,equal_impurity_centrality,0,12,MCC,0.7271428173249503
238,equal_impurity_centrality,0,13,A,0.8645833333333334
239,equal_impurity_centrality,0,13,MCC,0.7042971527455699
240,equal_impurity_centrality,0,14,A,0.875
241,equal_impurity_centrality,0,14,MCC,0.7271428173249503
242,equal_impurity_centrality,0,15,A,0.875
243,equal_impurity_centrality,0,15,MCC,0.7271428173249503
244,equal_impurity_centrality,0,16,A,0.875
245,equal_impurity_centrality,0,16,MCC,0.7271428173249503
246,equal_impurity_centrality,0,17,A,0.8645833333333334
247,equal_impurity_centrality,0,17,MCC,0.7042971527455699
248,equal_impurity_centrality,0,18,A,0.875
249,equal_impurity_centrality,0,18,MCC,0.7271428173249503
250,equal_impurity_centrality,0,19,A,0.875
251,equal_impurity_centrality,0,19,MCC,0.7271428173249503
252,relevance_impurity_centrality,0,2,A,0.9166666666666666
253,relevance_impurity_centrality,0,2,MCC,0.8191376992166521
254,relevance_impurity_centrality,0,3,A,0.8958333333333334
255,relevance_impurity_centrality,0,3,MCC,0.7776898497790747
256,relevance_impurity_centrality,0,4,A,0.875
257,relevance_impurity_centrality,0,4,MCC,0.7271428173249503
258,relevance_impurity_centrality,0,5,A,0.875
259,relevance_impurity_centrality,0,5,MCC,0.7271428173249503
260,relevance_impurity_centrality,0,6,A,0.875
261,relevance_impurity_centrality,0,6,MCC,0.7271428173249503
262,relevance_impurity_centrality,0,7,A,0.875
263,relevance_impurity_centrality,0,7,MCC,0.7271428173249503
264,relevance_impurity_centrality,0,8,A,0.875
265,relevance_impurity_centrality,0,8,MCC,0.7271428173249503
266,relevance_impurity_centrality,0,9,A,0.875
267,relevance_impurity_centrality,0,9,MCC,0.7271428173249503
268,relevance_impurity_centrality,0,10,A,0.875
269,relevance_impurity_centrality,0,10,MCC,0.7271428173249503
270,relevance_impurity_centrality,0,11,A,0.875
271,relevance_impurity_centrality,0,11,MCC,0.7271428173249503
272,relevance_impurity_centrality,0,12,A,0.8645833333333334
273,relevance_impurity_centrality,0,12,MCC,0.7042971527455699
274,relevance_impurity_centrality,0,13,A,0.8645833333333334
275,relevance_impurity_centrality,0,13,MCC,0.7042971527455699
276,relevance_impurity_centrality,0,14,A,0.875
277,relevance_impurity_centrality,0,14,MCC,0.7271428173249503
278,relevance_impurity_centrality,0,15,A,0.875
279,relevance_impurity_centrality,0,15,MCC,0.7271428173249503
280,relevance_impurity_centrality,0,16,A,0.875
281,relevance_impurity_centrality,0,16,MCC,0.7271428173249503
282,relevance_impurity_centrality,0,17,A,0.8645833333333334
283,relevance_impurity_centrality,0,17,MCC,0.7042971527455699
284,relevance_impurity_centrality,0,18,A,0.875
285,relevance_impurity_centrality,0,18,MCC,0.7271428173249503
286,relevance_impurity_centrality,0,19,A,0.875
287,relevance_impurity_centrality,0,19,MCC,0.7271428173249503
288,support_relevance_centrality,0,2,A,0.9270833333333334
289,support_relevance_centrality,0,2,MCC,0.852359800696136
290,support_relevance_centrality,0,3,A,0.8645833333333334
291,support_relevance_centrality,0,3,MCC,0.7206647241937287
292,support_relevance_centrality,0,4,A,0.875
293,support_relevance_centrality,0,4,MCC,0.74606465664469
294,support_relevance_centrality,0,5,A,0.8854166666666666
295,support_relevance_centrality,0,5,MCC,0.7716444219563081
296,support_relevance_centrality,0,6,A,0.875
297,support_relevance_centrality,0,6,MCC,0.7271428173249503
298,support_relevance_centrality,0,7,A,0.875
299,support_relevance_centrality,0,7,MCC,0.7271428173249503
300,support_relevance_centrality,0,8,A,0.875
301,support_relevance_centrality,0,8,MCC,0.7271428173249503
302,support_relevance_centrality,0,9,A,0.875
303,support_relevance_centrality,0,9,MCC,0.7271428173249503
304,support_relevance_centrality,0,10,A,0.875
305,support_relevance_centrality,0,10,MCC,0.7271428173249503
306,support_relevance_centrality,0,11,A,0.875
307,support_relevance_centrality,0,11,MCC,0.7271428173249503
308,support_relevance_centrality,0,12,A,0.875
309,support_relevance_centrality,0,12,MCC,0.7271428173249503
310,support_relevance_centrality,0,13,A,0.875
311,support_relevance_centrality,0,13,MCC,0.7271428173249503
312,support_relevance_centrality,0,14,A,0.875
313,support_relevance_centrality,0,14,MCC,0.7271428173249503
314,support_relevance_centrality,0,15,A,0.875
315,support_relevance_centrality,0,15,MCC,0.7271428173249503
316,support_relevance_centrality,0,16,A,0.875
317,support_relevance_centrality,0,16,MCC,0.7271428173249503
318,support_relevance_centrality,0,17,A,0.8645833333333334
319,support_relevance_centrality,0,17,MCC,0.7042971527455699
320,support_relevance_centrality,0,18,A,0.875
321,support_relevance_centrality,0,18,MCC,0.7271428173249503
322,support_relevance_centrality,0,19,A,0.875
323,support_relevance_centrality,0,19,MCC,0.7271428173249503
324,confidence_relevance_centrality,0,2,A,0.9270833333333334
325,confidence_relevance_centrality,0,2,MCC,0.852359800696136
326,confidence_relevance_centrality,0,3,A,0.9270833333333334
327,confidence_relevance_centrality,0,3,MCC,0.8416833807014049
328,confidence_relevance_centrality,0,4,A,0.8854166666666666
329,confidence_relevance_centrality,0,4,MCC,0.7519116081424536
330,confidence_relevance_centrality,0,5,A,0.8854166666666666
331,confidence_relevance_centrality,0,5,MCC,0.7519116081424536
332,confidence_relevance_centrality,0,6,A,0.875
333,confidence_relevance_centrality,0,6,MCC,0.7271428173249503
334,confidence_relevance_centrality,0,7,A,0.875
335,confidence_relevance_centrality,0,7,MCC,0.7271428173249503
336,confidence_relevance_centrality,0,8,A,0.875
337,confidence_relevance_centrality,0,8,MCC,0.7271428173249503
338,confidence_relevance_centrality,0,9,A,0.875
339,confidence_relevance_centrality,0,9,MCC,0.7271428173249503
340,confidence_relevance_centrality,0,10,A,0.875
341,confidence_relevance_centrality,0,10,MCC,0.7271428173249503
342,confidence_relevance_centrality,0,11,A,0.875
343,confidence_relevance_centrality,0,11,MCC,0.7271428173249503
344,confidence_relevance_centrality,0,12,A,0.875
345,confidence_relevance_centrality,0,12,MCC,0.7271428173249503
346,confidence_relevance_centrality,0,13,A,0.875
347,confidence_relevance_centrality,0,13,MCC,0.7271428173249503
348,confidence_relevance_centrality,0,14,A,0.875
349,confidence_relevance_centrality,0,14,MCC,0.7271428173249503
350,confidence_relevance_centrality,0,15,A,0.875
351,confidence_relevance_centrality,0,15,MCC,0.7271428173249503
352,confidence_relevance_centrality,0,16,A,0.875
353,confidence_relevance_centrality,0,16,MCC,0.7271428173249503
354,confidence_relevance_centrality,0,17,A,0.8645833333333334
355,confidence_relevance_centrality,0,17,MCC,0.7042971527455699
