,method,fold,Age,Sex,Steroid,Antivirals,Fatigue,Malaise,Anorexia,Liver Big,Liver Firm,Spleen Palpable,Spiders,Ascites,Varices,Bilirubin,Alk Phosphate,Sgot,Albumin,Protime,Histology
94,confidence_impurity_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2549034898579992,0.0,0.0,0.20702418586956972,0.0,0.0,0.12496762991508227,0.09280318533707724,0.0,0.32030150902027155,0.0,0.0
95,lift_impurity_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20772886056246867,0.0,0.0,0.24401068663394823,0.0,0.0,0.133867295787333,0.10198689217336647,0.0,0.3124062648428836,0.0,0.0
96,equal_impurity_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25032322803345963,0.0,0.0,0.20839368797171215,0.0,0.0,0.12610955620689812,0.09959659543278271,0.0,0.3155769323551474,0.0,0.0
97,relevance_impurity_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10047348126464024,0.0,0.0,0.1864598888327496,0.0,0.0,0.17573952204193022,0.1564058050934909,0.0,0.380921302767189,0.0,0.0
98,support_relevance_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11790288110448e-07,0.0,0.0,0.20143127635201755,0.0,0.0,0.02657195621917321,0.00255905808478507,0.0,0.769437097553736,0.0,0.0
99,confidence_relevance_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7161617054685672e-05,0.0,0.0,0.10881172637025534,0.0,0.0,0.09197037797763331,0.00879568005705227,0.0,0.7904050539780044,0.0,0.0
100,lift_relevance_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0833042952744028e-05,0.0,0.0,0.04696172940717057,0.0,0.0,0.13341278837548998,0.00676211925870037,0.0,0.8128425299156863,0.0,0.0
101,equal_relevance_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7104413639224717e-05,0.0,0.0,0.10923151409436678,0.0,0.0,0.09293687788958281,0.009354070235523468,0.0,0.7884604333668878,0.0,0.0
102,relevance_relevance_centrality,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4359475109626356e-06,0.0,0.0,0.15618495413666056,0.0,0.0,0.07376528753519454,0.0031224446795161225,0.0,0.7669258777011179,0.0,0.0
103,perm,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4411764705882353,0.0,0.0,0.47058823529411775,-0.058823529411764684,0.0,0.11764705882352937,0.029411764705882342,0.0
104,gini,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10322655496256848,0.0,0.0,0.09199036196170907,0.18128792722952905,0.0,0.40809274905124754,0.21540240679494585,0.0
105,support_impurity_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435314636755335,0.0,0.0,0.012263069492317749,0.30683582266715054,0.0,0.16873780213589235,0.4686318420291059,0.0
106,confidence_impurity_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07175079068983467,0.0,0.0,0.012382515184793186,0.2772156264486899,0.0,0.11749643600181406,0.5211546316748682,0.0
107,lift_impurity_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05114477245374173,0.0,0.0,0.017609581713553497,0.26731715374465126,0.0,0.1319596797860214,0.5319688123020322,0.0
108,equal_impurity_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695547917306723,0.0,0.0,0.022505476827370682,0.2731941156281349,0.0,0.13151604486293786,0.48582888350848935,0.0
109,relevance_impurity_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022927566532757127,0.0,0.0,0.008758854334288985,0.3114448901523233,0.0,0.1570231962358416,0.499845492744789,0.0
110,support_relevance_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0214553460360149e-05,0.0,0.0,0.08450329415972696,0.09119932894605516,0.0,0.3079184948588962,0.5163686674818613,0.0
111,confidence_relevance_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.874788916611214e-05,0.0,0.0,0.03580333209331832,0.05935602728680945,0.0,0.6606606974379885,0.24409119529271767,0.0
112,lift_relevance_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.737237564128985e-05,0.0,0.0,0.012423697134053962,0.04242231984690452,0.0,0.8321620875522249,0.11292452309117536,0.0
113,equal_relevance_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126738566264988,0.0,0.0,0.035930214488971525,0.05944043865553554,0.0,0.6604308443090325,0.24407176398019545,0.0
114,relevance_relevance_centrality,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1762810819177055e-05,0.0,0.0,0.050414384039997345,0.06553984555623847,0.0,0.5602091327181414,0.32382487487480355,0.0
115,perm,9,0.09090909090909088,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.48484848484848486,0.42424242424242425,-0.0
116,gini,9,0.1052985302779919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0945840614600726,0.0,0.0,0.049824096129740696,0.1652135074723127,0.0,0.44128528179151555,0.1437945228683666,0.0
117,shap,9,0.12021089114494982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06917857557581798,0.0,0.0,0.0334995439969897,0.13084080002582704,0.0,0.4319330746836733,0.21433711457274218,0.0
