,method,fold,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
100,confidence_relevance_centrality,7,0.0,0.17622189208977354,0.0,0.6951398729125786,0.01072198404200414,0.009645868661569065,0.0019054814619485806,0.033183769685410675,0.0,0.0,0.0,0.07219890001255816,0.000982231134157206,0.0,0.0,0.0
101,lift_relevance_centrality,7,0.0,0.27782843959064196,0.0,0.2146235932472401,0.04308231890110115,0.06881611012801421,0.006284708772101181,0.2082850548187085,0.0,0.0,0.0,0.17404333247357448,0.007036442068618604,0.0,0.0,0.0
102,equal_relevance_centrality,7,0.0,0.17620095562313315,0.0,0.6949255306741273,0.010718677982102019,0.009642894415433442,0.0021455425542301378,0.033207832570064065,0.0,0.0,0.0,0.07217663791187104,0.0009819282690387231,0.0,0.0,0.0
103,relevance_relevance_centrality,7,0.0,0.1762628795555136,0.0,0.7065993583678516,0.007905658165379331,0.007572970803150321,0.0014650467324159606,0.02625802454800286,0.0,0.0,0.0,0.07321441589374728,0.0007216459339391176,0.0,0.0,0.0
104,perm,8,0.0,0.16883116883116886,0.0,0.5324675324675323,0.0,0.0,-0.012987012987012981,0.0,0.11688311688311691,0.09090909090909097,0.0,0.0,0.10389610389610396,0.0,0.0,0.0
105,gini,8,0.0,0.22830503886681197,0.0,0.40835818097069543,0.0,0.03683232294724993,0.05281145069310408,0.0,0.16426635075562226,0.08940591465194665,0.0,0.0,0.020020741114569626,0.0,0.0,0.0
106,shap,8,0.0,0.19601053758493114,0.0,0.39563417244259735,0.0,0.062250659426375476,0.036206247716377545,0.0,0.15807301527565912,0.12194204032743508,0.0,0.0,0.029883327226624297,0.0,0.0,0.0
107,support_impurity_centrality,8,0.0,0.15519297591406123,0.0,0.17347654148058797,0.0,0.14403206378699865,0.12263468431432044,0.0,0.22883885769582948,0.14016197885296788,0.0,0.0,0.035662897955234335,0.0,0.0,0.0
108,confidence_impurity_centrality,8,0.0,0.18485078715486727,0.0,0.15908863978109417,0.0,0.20121830796336623,0.09446254179951974,0.0,0.18644249154048873,0.1303713647204158,0.0,0.0,0.04356586704024798,0.0,0.0,0.0
109,lift_impurity_centrality,8,-0.0,1.2090176492891938,-0.0,-0.02365351456466845,-0.0,2.9670040689256245,-0.20865055399009722,-0.0,-1.2070652149847376,-1.4339428172295259,-0.0,-0.0,-0.30270961744578945,-0.0,-0.0,-0.0
110,equal_impurity_centrality,8,0.0,0.18485078715486727,0.0,0.15908863978109417,0.0,0.20121830796336623,0.09446254179951974,0.0,0.18644249154048873,0.1303713647204158,0.0,0.0,0.04356586704024798,0.0,0.0,0.0
111,relevance_impurity_centrality,8,0.0,0.19136953503480827,0.0,0.1646988876423968,0.0,0.2083142551250225,0.09440339047875615,0.0,0.17491330556204623,0.1349689002270632,0.0,0.0,0.03133172592990672,0.0,0.0,0.0
112,support_relevance_centrality,8,0.0,0.10943102931930142,0.0,0.8555553616463482,0.0,0.00401815428809155,0.00433899802669413,0.0,0.017356959980670657,0.009094237545267468,0.0,0.0,0.00020525919362660762,0.0,0.0,0.0
113,confidence_relevance_centrality,8,0.0,0.20383007394785993,0.0,0.6494479324494817,0.0,0.025632157692093798,0.01438884539681454,0.0,0.07011509065578318,0.03576641420229133,0.0,0.0,0.0008194856556754205,0.0,0.0,0.0
