,method,fold,right-distance,right-weight,left-distance,left-weight
110,equal_impurity_centrality,8,0.25001997655049396,0.24989377874644386,0.250081626262369,0.25000461844069305
111,relevance_impurity_centrality,8,0.24953321725344835,0.24826696407024956,0.2561503130461401,0.24604950563016204
112,support_relevance_centrality,8,0.35970965475861627,0.12440148290392114,0.1766660547296681,0.3392228076077945
113,confidence_relevance_centrality,8,0.3372642419442316,0.160175287348129,0.18782116802903132,0.31473930267860806
114,lift_relevance_centrality,8,0.33510083006417146,0.16221951476317142,0.18961100263503222,0.3130686525376249
115,equal_relevance_centrality,8,0.3372642419442316,0.160175287348129,0.18782116802903132,0.31473930267860806
116,relevance_relevance_centrality,8,0.3598295582942293,0.12429190229604395,0.17688997789174357,0.3389885615179832
117,perm,9,0.24184782608695649,0.24456521739130432,0.32880434782608703,0.1847826086956522
118,gini,9,0.2105649479235699,0.23608358989421907,0.2745507008105455,0.2788007613716656
119,shap,9,0.25227247500781846,0.2710904026700951,0.21058972299197037,0.26604739933011606
120,support_impurity_centrality,9,0.2557912566930566,0.24221577863487126,0.2802477783876265,0.22174518628444564
121,confidence_impurity_centrality,9,0.26875007324599215,0.2549343395343819,0.24500015730069485,0.23131542991893114
122,lift_impurity_centrality,9,0.2674512020680381,0.2545941929836052,0.24523488147891317,0.23271972346944358
123,equal_impurity_centrality,9,0.262689270676084,0.2521594384098507,0.24947170789381165,0.2356795830202536
124,relevance_impurity_centrality,9,0.25594708204137595,0.2422981482206289,0.27957290684235897,0.22218186289563616
125,support_relevance_centrality,9,0.09893422354369273,0.48445964558027693,0.10044142522580797,0.31616470565022237
126,confidence_relevance_centrality,9,0.1389150078535699,0.4308764506604895,0.10440894510396286,0.32579959638197775
127,lift_relevance_centrality,9,0.1389721192479006,0.43089037478692277,0.10448098218515618,0.32565652378002047
128,equal_relevance_centrality,9,0.14231414200533302,0.42506454935726934,0.10859572559220525,0.3240255830451924
129,relevance_relevance_centrality,9,0.0991622028606246,0.48391741935997706,0.10007197177748525,0.31684840600191305
