,method,fold,deg-malig,age_20-29,age_30-39,age_40-49,age_50-59,age_60-69,age_70-79,menopause_ge40,menopause_lt40,menopause_premeno,tumor-size_0-4,tumor-size_14-Oct,tumor-size_15-19,tumor-size_20-24,tumor-size_25-29,tumor-size_30-34,tumor-size_35-39,tumor-size_40-44,tumor-size_45-49,tumor-size_50-54,tumor-size_9-May,inv-nodes_0-2,inv-nodes_11-Sep,inv-nodes_14-Dec,inv-nodes_15-17,inv-nodes_24-26,inv-nodes_5-Mar,inv-nodes_8-Jun,node-caps_no,node-caps_yes,breast_left,breast_right,breast-quad_central,breast-quad_left_low,breast-quad_left_up,breast-quad_right_low,breast-quad_right_up,irradiat_no,irradiat_yes
25,relevance_relevance_centrality,1,0.5274928421821922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005497571644206069,0.0,0.046086510426722106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41300842725577547,0.0024160198384943184,0.0,0.0,0.0,0.0,0.0007301508286098131,0.0,0.0,0.0,0.0,8.333576962182807e-05,0.0,0.0,0.002235133560677632,0.0024500084937005622,0.0,0.0
26,perm,2,-0.812499999999993,-0.0,-0.0,0.9374999999999938,-0.0,4.0245584642661624e-16,-0.0,-0.0,-0.0,0.1249999999999993,-0.0,0.3749999999999977,-0.0,-0.0,-0.0,-0.0,0.06249999999999965,-0.2499999999999978,-0.0,-0.0,-0.0,0.2499999999999986,-0.06249999999999945,-0.0,-0.0,-0.0,-0.5624999999999951,-0.0,-0.0,-0.6249999999999946,-0.0,-0.0,-0.0,-0.0,0.06250000000000067,-0.0,-0.0,-0.0,1.4999999999999898
27,gini,2,0.15299357196204885,0.0,0.018088888273574112,0.01992179721005614,0.0,0.019754800914048024,0.0,0.07402524331243726,0.0,0.04931889096005128,0.0,0.0810696312316368,0.013067805761903372,0.0633559114032647,0.04300531439002442,0.023022655370751686,0.01178904568420353,0.03264719162492927,0.0,0.0,0.012934208799455076,0.06262578029137245,0.024329156192601287,0.0,0.0,0.0,0.02515005811801203,0.0,0.0,0.02152491252014115,0.02491642611645032,0.0,0.018129348642344126,0.014558303351355172,0.08455260830460903,0.03627720347857317,0.0,0.0,0.07294124608615668
28,shap,2,0.20058618993667035,0.0,0.00017639160681338272,0.03352737487353171,0.0,0.028128408476330673,0.0,0.08238515589342851,0.0,0.04997935047358787,0.0,0.051938820047487455,0.007795817327217809,0.026662801548094067,0.00947326696303289,0.01612426805876547,0.011648560150781334,0.012399292285305391,0.0,0.0,0.005841064718183232,0.05425805951188147,0.0004357910174109842,0.0,0.0,0.0,0.046681519923718114,0.0,0.0,0.07448291173244467,0.004503174001194271,0.0,0.008832550179699727,0.019185181236128186,0.0933070725699565,0.029375777033053396,0.0,0.0,0.13227120043528254
29,support_impurity_centrality,2,0.14239233439250376,0.0,0.022639598495526686,0.008115488949494017,0.0,0.09553584077189967,0.0,0.047643150885749,0.0,0.05166458957496231,0.0,0.007908104594115357,0.023333933497319707,0.03502787572868149,0.03667346636438892,0.011396047047402755,0.0035716400900575825,0.033386857289935644,0.0,0.0,0.003567319612024076,0.11509682230257437,0.016477803297015012,0.0,0.0,0.0,0.05693524518018608,0.0,0.0,0.09865561564791278,0.048334422425381704,0.0,0.007841438499480567,0.02022549379392854,0.040906358847107915,0.0018606098003397453,0.0,0.0,0.07080994291201233
30,confidence_impurity_centrality,2,0.11904962201011435,0.0,0.056452632885702694,0.0025897797967861774,0.0,0.1270144253665721,0.0,0.04792130481487975,0.0,0.047224335883040494,0.0,0.0010417226252035193,0.020802139253246747,0.05598533291947815,0.029786393244617515,0.019296362822940838,0.0006706028129990509,0.03234901910712534,0.0,0.0,0.0006591982907192546,0.07831994606853271,0.030238122821644193,0.0,0.0,0.0,0.03677030541876135,0.0,0.0,0.08741861915543338,0.08096436207737019,0.0,0.0027149791374743537,0.022436271036730102,0.0271402611015049,0.00018297396612330526,0.0,0.0,0.0729712873829994
31,lift_impurity_centrality,2,0.1448351921710332,0.0,0.056872676548991,0.0033316380501848064,0.0,0.12596842569833408,0.0,0.03423356140644919,0.0,0.04833774937864213,0.0,0.0011728829394661853,0.03192834954748852,0.06294906144146131,0.027816707199955198,0.029035847867570908,0.0009316716691073393,0.03615501082555166,0.0,0.0,0.0009243120610884128,0.06606592000159744,0.04516095173205889,0.0,0.0,0.0,0.03882847544988575,0.0,0.0,0.06463095263347837,0.0846390939280611,0.0,0.0038830704362064145,0.021722004944833825,0.020834763604742203,0.00011924123578172733,0.0,0.0,0.0496224392280303
32,equal_impurity_centrality,2,0.11960645771190835,0.0,0.055708371815880585,0.0035307437274440605,0.0,0.12559116316316327,0.0,0.04817954721910821,0.0,0.048077655778924665,0.0,0.0016339346157113726,0.0205278876971403,0.055310395066773904,0.029669395773198076,0.019041963144765427,0.0009574910953026324,0.031922535622872075,0.0,0.0,0.0009462623703012487,0.07769077184509984,0.029839469003562505,0.0,0.0,0.0,0.03628553251358859,0.0,0.0,0.08630417149909027,0.07989694290386289,0.0,0.0035381888221467407,0.022958520440767568,0.029188595574536593,0.0002048209585240938,0.0,0.0,0.07338918163632649
33,relevance_impurity_centrality,2,0.16966832012439678,0.0,0.023224523207638834,0.009615659546642051,0.0,0.09294887150320469,0.0,0.03614438183311393,0.0,0.04938084970582939,0.0,0.007475318036266065,0.03434787113878516,0.032532632454401904,0.02853419614803591,0.013000547890879406,0.005063701743660828,0.04448746355704871,0.0,0.0,0.005061023832491547,0.11102754809810535,0.01940908933068018,0.0,0.0,0.0,0.058773476913509363,0.0,0.0,0.0885105999884353,0.04460346235504363,0.0,0.010816269687307317,0.02058650938568846,0.03732816592880046,0.001040650516023626,0.0,0.0,0.056418867074011114
34,support_relevance_centrality,2,0.20147278646121652,0.0,4.456544430495205e-08,0.0007277372259125707,0.0,0.0013957299810492105,0.0,0.2581602133897873,0.0,0.0027454585926282547,0.0,0.1968181809530465,7.299834021692851e-06,0.05785372210463275,2.441299793622302e-05,0.00032496293975060967,0.001009560802919519,7.593966483463503e-06,0.0,0.0,0.0010094627589420481,0.0022901063614466557,0.00011866909632841177,0.0,0.0,0.0,9.81154727506512e-05,0.0,0.0,0.0007213911172788283,8.378319410070049e-07,0.0,9.305282894165901e-05,1.147116769337625e-05,0.09009643380566294,0.010396247105170581,0.0,0.0,0.17461650863901493
